@relation pageBlocks.data
@attribute height numeric
@attribute lenght numeric
@attribute area numeric
@attribute eccen numeric
@attribute p_black numeric
@attribute p_and numeric
@attribute mean_tr numeric
@attribute blackpix numeric
@attribute blackand numeric
@attribute wb_trans numeric
@attribute class  hierarchical 1-2-3-4-5/1-2/1, 1-2-3-4-5/1-2/2, 1-2-3-4-5/3-4-5/3-5/3, 1-2-3-4-5/3-4-5/4, 1-2-3-4-5/3-4-5/3-5/5

@data
6,7,42,1.167,0.429,0.881,3.6,18,37,5,1-2-3-4-5/1-2/1
5,7,35,1.4,0.371,0.743,4.33,13,26,3,1-2-3-4-5/1-2/1
5,7,35,1.4,0.486,0.914,8.5,17,32,2,1-2-3-4-5/1-2/1
5,19,95,3.8,0.232,0.4,5.5,22,38,4,1-2-3-4-5/1-2/1
4,6,24,1.5,0.417,0.5,10,10,12,1,1-2-3-4-5/1-2/1
4,6,24,1.5,0.458,0.792,5.5,11,19,2,1-2-3-4-5/1-2/1
9,51,459,5.667,0.296,0.786,2.34,136,361,58,1-2-3-4-5/1-2/1
12,7,84,0.583,0.214,0.583,3.6,18,49,5,1-2-3-4-5/1-2/1
9,85,765,9.444,0.302,0.812,1.82,231,621,127,1-2-3-4-5/1-2/1
11,119,1309,10.818,0.261,0.798,1.88,341,1045,181,1-2-3-4-5/1-2/1
9,13,117,1.444,0.239,0.462,4.67,28,54,6,1-2-3-4-5/1-2/1
2,46,92,23,0.587,0.761,18,54,70,3,1-2-3-4-5/1-2/2
9,41,369,4.556,0.301,0.886,1.91,111,327,58,1-2-3-4-5/1-2/1
1,12,12,12,0.583,1,3.5,7,12,2,1-2-3-4-5/1-2/1
11,8,88,0.727,0.443,0.466,39,39,41,1,1-2-3-4-5/1-2/1
11,7,77,0.636,0.597,1,5.75,46,77,8,1-2-3-4-5/1-2/1
11,8,88,0.727,0.511,0.852,9,45,75,5,1-2-3-4-5/1-2/1
10,38,380,3.8,0.387,0.887,2.49,147,337,59,1-2-3-4-5/1-2/1
10,21,210,2.1,0.329,0.843,2.56,69,177,27,1-2-3-4-5/1-2/1
12,26,312,2.167,0.221,1,1.6,69,312,43,1-2-3-4-5/1-2/1
8,53,424,6.625,0.358,0.981,1.54,152,416,99,1-2-3-4-5/1-2/1
7,14,98,2,0.184,0.612,18,18,60,1,1-2-3-4-5/1-2/1
8,75,600,9.375,0.328,0.888,1.86,197,533,106,1-2-3-4-5/1-2/1
8,44,352,5.5,0.426,0.938,3.26,150,330,46,1-2-3-4-5/1-2/1
8,48,384,6,0.31,0.807,1.92,119,310,62,1-2-3-4-5/1-2/1
8,40,320,5,0.403,0.991,2.53,129,317,51,1-2-3-4-5/1-2/1
9,122,1098,13.556,0.339,0.947,2.57,372,1040,145,1-2-3-4-5/1-2/1
9,37,333,4.111,0.381,0.808,2.05,127,269,62,1-2-3-4-5/1-2/1
9,82,738,9.111,0.343,0.913,2.02,253,674,125,1-2-3-4-5/1-2/1
9,82,738,9.111,0.247,0.935,2.09,182,690,87,1-2-3-4-5/1-2/1
12,43,516,3.583,0.293,0.791,2.29,151,408,66,1-2-3-4-5/1-2/1
9,20,180,2.222,0.339,0.772,1.74,61,139,35,1-2-3-4-5/1-2/1
9,32,288,3.556,0.365,0.781,2.23,105,225,47,1-2-3-4-5/1-2/1
42,7,294,0.167,0.282,0.432,2.18,83,127,38,1-2-3-4-5/3-4-5/4
48,402,19296,8.375,0.055,0.094,4.13,1058,1814,256,1-2-3-4-5/3-4-5/3-5/5
304,463,140752,1.523,0.063,0.121,3.91,8898,17081,2273,1-2-3-4-5/3-4-5/3-5/5
9,76,684,8.444,0.363,0.874,2.18,248,598,114,1-2-3-4-5/1-2/1
11,207,2277,18.818,0.268,0.723,1.84,610,1647,332,1-2-3-4-5/1-2/1
