@relation pendigits.data

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
47,100,27,81,57,37,26,0,0,23,56,53,100,90,40,98,8
0,67,49,83,100,100,81,80,60,60,40,40,33,20,47,0,1
13,89,12,50,72,38,56,0,4,17,0,61,32,94,100,100,5
64,93,0,67,97,67,89,100,14,70,100,68,96,36,28,0,9
47,86,73,100,89,75,68,49,100,28,82,4,38,0,0,13,3
29,72,45,100,78,78,60,41,25,12,0,4,50,6,100,0,2
94,79,40,100,13,65,59,30,67,0,0,17,45,52,100,83,8
72,100,38,88,2,57,0,19,51,0,100,20,55,34,12,7,6
26,79,69,100,92,85,56,56,90,42,100,15,51,0,0,2,3
20,85,62,100,71,72,45,52,98,47,100,17,53,0,0,0,3
45,93,0,60,75,69,89,29,19,0,15,43,26,93,100,100,5
100,98,60,100,29,73,10,41,6,6,46,0,46,27,0,30,6
67,100,30,90,0,57,41,40,100,53,98,67,66,34,40,0,4
2,78,46,99,100,100,77,76,94,38,94,0,41,3,0,28,3
0,79,51,59,100,29,51,0,22,26,51,60,73,94,9,100,8
72,100,38,84,13,63,0,40,40,28,88,31,100,22,84,0,4
37,84,69,100,96,87,55,61,88,38,100,9,51,0,0,3,3
24,100,100,99,93,78,64,48,39,17,19,0,0,31,72,38,7
98,100,52,77,18,52,0,25,25,0,100,5,97,29,23,22,6
0,61,22,89,59,100,72,73,53,42,31,12,58,0,100,4,2
47,91,37,63,65,27,21,0,9,40,0,91,49,100,100,91,5
78,100,40,94,16,58,5,21,53,0,100,27,36,30,0,0,6
44,80,80,100,100,85,72,59,92,38,93,14,49,3,0,0,3
0,93,45,100,74,75,57,37,35,0,25,24,53,41,100,37,7
49,54,100,78,65,100,0,82,12,60,90,64,95,33,86,0,9
3,100,4,83,0,56,15,31,60,28,100,42,91,26,88,0,4
28,55,63,78,100,100,75,71,56,42,35,13,0,0,25,0,1
41,53,60,100,100,89,70,42,33,0,72,16,54,62,0,72,8
47,100,19,81,0,58,19,39,61,38,100,42,82,23,62,0,4
100,100,55,98,26,81,40,67,78,55,74,25,43,1,0,0,5
10,86,0,44,33,0,80,9,100,65,64,100,22,74,32,20,0
0,89,41,100,89,93,100,62,84,31,64,0,27,17,54,34,7
0,83,37,100,81,90,65,61,100,45,97,15,54,0,14,7,3
