@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
48,0,178,0,1,1,0.212389,1,0.787611,0.350365,1,1,0
44,4,79,99,0.44382,0.916667,0.357724,0.916667,0.642276,0.51462,0.544248,1.684282,0.000558
44,4,78,100,0.438202,0.916667,0.360656,0.916667,0.639344,0.517647,0.539823,1.698087,0.001699
44,4,72,106,0.404494,0.916667,0.37931,0.916667,0.62069,0.536585,0.513274,1.78592,0.001743
44,4,71,107,0.398876,0.916667,0.382609,0.916667,0.617391,0.539877,0.50885,1.801449,0.007148
43,5,71,107,0.398876,0.895833,0.377193,0.895833,0.622807,0.530864,0.504425,1.77595,0.011703
43,5,70,108,0.393258,0.895833,0.380531,0.895833,0.619469,0.534161,0.5,1.791667,0.014279
43,5,69,109,0.38764,0.895833,0.383929,0.895833,0.616071,0.5375,0.495575,1.807664,0.015701
43,5,65,113,0.365169,0.895833,0.398148,0.895833,0.601852,0.551282,0.477876,1.874614,0.025948
43,5,57,121,0.320225,0.895833,0.43,0.895833,0.57,0.581081,0.442478,2.024583,0.032121
43,5,56,122,0.314607,0.895833,0.434343,0.895833,0.565657,0.585034,0.438053,2.045034,0.032675
43,5,48,130,0.269663,0.895833,0.472527,0.895833,0.527473,0.618705,0.402655,2.224817,0.033543
43,5,47,131,0.264045,0.895833,0.477778,0.895833,0.522222,0.623188,0.39823,2.249537,0.033699
43,5,45,133,0.252809,0.895833,0.488636,0.895833,0.511364,0.632353,0.389381,2.300663,0.039381
43,5,43,135,0.241573,0.895833,0.5,0.895833,0.5,0.641791,0.380531,2.354167,0.039393
43,5,42,136,0.235955,0.895833,0.505882,0.895833,0.494118,0.646617,0.376106,2.381863,0.042781
43,5,41,137,0.230337,0.895833,0.511905,0.895833,0.488095,0.651515,0.371681,2.410218,0.042958
43,5,40,138,0.224719,0.895833,0.518072,0.895833,0.481928,0.656489,0.367257,2.439257,0.044527
43,5,39,139,0.219101,0.895833,0.52439,0.895833,0.47561,0.661538,0.362832,2.469004,0.045867
43,5,38,140,0.213483,0.895833,0.530864,0.895833,0.469136,0.666667,0.358407,2.499486,0.091874
43,5,37,141,0.207865,0.895833,0.5375,0.895833,0.4625,0.671875,0.353982,2.530729,0.118636
42,6,34,144,0.191011,0.875,0.552632,0.875,0.447368,0.677419,0.336283,2.601974,0.134135
41,7,32,146,0.179775,0.854167,0.561644,0.854167,0.438356,0.677686,0.323009,2.644406,0.153377
41,7,31,147,0.174157,0.854167,0.569444,0.854167,0.430556,0.683333,0.318584,2.681134,0.158666
41,7,28,150,0.157303,0.854167,0.594203,0.854167,0.405797,0.700855,0.30531,2.797705,0.164524
41,7,27,151,0.151685,0.854167,0.602941,0.854167,0.397059,0.706897,0.300885,2.838848,0.165385
41,7,26,152,0.146067,0.854167,0.61194,0.854167,0.38806,0.713043,0.29646,2.881219,0.178473
41,7,24,154,0.134831,0.854167,0.630769,0.854167,0.369231,0.725664,0.287611,2.969872,0.178607
41,7,23,155,0.129213,0.854167,0.640625,0.854167,0.359375,0.732143,0.283186,3.016276,0.193856
41,7,22,156,0.123596,0.854167,0.650794,0.854167,0.349206,0.738739,0.278761,3.064153,0.196049
41,7,19,159,0.106742,0.854167,0.683333,0.854167,0.316667,0.759259,0.265487,3.217361,0.211846
41,7,18,160,0.101124,0.854167,0.694915,0.854167,0.305085,0.766355,0.261062,3.271893,0.219983
41,7,17,161,0.095506,0.854167,0.706897,0.854167,0.293103,0.773585,0.256637,3.328305,0.22186
41,7,16,162,0.089888,0.854167,0.719298,0.854167,0.280702,0.780952,0.252212,3.386696,0.244318
41,7,15,163,0.08427,0.854167,0.732143,0.854167,0.267857,0.788462,0.247788,3.447173,0.646503
41,7,14,164,0.078652,0.854167,0.745455,0.854167,0.254545,0.796117,0.243363,3.509848,0.656687
40,8,14,164,0.078652,0.833333,0.740741,0.833333,0.259259,0.784314,0.238938,3.487654,0.675516
40,8,13,165,0.073034,0.833333,0.754717,0.833333,0.245283,0.792079,0.234513,3.553459,0.68617
